feature,importance
purchase_month,13.740613444189451
required_velocity,9.56184354344018
customer_state,8.068043639659058
lead_time_days_estimated,7.72024959027978
seller_state_backlog,6.986098416383798
customer_state_backlog,4.750362261668182
distance_km,4.647243740033352
seller_recent_delay_rate,4.202702741840859
seller_avg_review_score,3.669014305004429
dist_backlog_ratio,3.093621637813636
seconds_since_last_seller_order,3.0434573386561214
avg_product_volume_cm3,2.9434392663106554
seller_intensity_score,2.867100600632672
seller_historical_delay_rate,2.4438646161183732
freight_per_gram,2.352661149426254
total_freight,2.125388516529765
primary_payment_type,1.8427024449881473
total_weight_g,1.8178738113314776
total_items,1.7776687778998594
seller_state,1.6917445641671096
freight_ratio,1.667295356323306
total_price,1.33894287013459
purchase_hour,1.3148408578431274
purchase_day_of_week,1.2927307662311707
product_category,1.2732211408171203
is_same_state,1.2205549394621322
total_payment,1.0615026715752085
max_installments,0.9053727616686896
customer_total_orders,0.4073227680552473
is_holiday,0.10920339339192833
is_black_friday,0.06331806812441652
